numero;variable;langue;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
10;1;anglais;She;can guess;that;;;;the movie star;will be awarded;an oscar ;for her hard work .
10;2;anglais;She;can guess;that;;;;the movie star;will be awarded;;for her hard work .
10;3;anglais;She;can guess;what;;;;the movie star;will be awarded;an oscar ;for her hard work .
10;4;anglais;She;can guess;what;;;;the movie star;will be awarded;;for her hard work .
10;5;anglais;She;can guess;that;our friend;predicts;that;the movie star;will be awarded;an oscar ;for her hard work .
10;6;anglais;She;can guess;that;our friend;predicts;that;the movie star;will be awarded;;for her hard work .
10;7;anglais;She;can guess;what;our friend;predicts;that;the movie star;will be awarded;an oscar ;for her hard work .
10;8;anglais;She;can guess;what;our friend;predicts;that;the movie star;will be awarded;;for her hard work .
11;1;anglais;The newspaper;reported;that;;;;the suspect;killed;the witness ;in the middle of the night .
11;2;anglais;The newspaper;reported;that;;;;the suspect;killed;;in the middle of the night .
11;3;anglais;The newspaper;reported;who;;;;the suspect;killed;the witness ;in the middle of the night .
11;4;anglais;The newspaper;reported;who;;;;the suspect;killed;;in the middle of the night .
11;5;anglais;The newspaper;reported;that;the police;know;that;the suspect;killed;the witness ;in the middle of the night .
11;6;anglais;The newspaper;reported;that;the police;know;that;the suspect;killed;;in the middle of the night .
11;7;anglais;The newspaper;reported;who;the police;know;that;the suspect;killed;the witness ;in the middle of the night .
11;8;anglais;The newspaper;reported;who;the police;know;that;the suspect;killed;;in the middle of the night .
12;1;anglais;We;recall;that;;;;the hot tea;warmed;the young girl ;after the shocking incident .
12;2;anglais;We;recall;that;;;;the hot tea;warmed;;after the shocking incident .
12;3;anglais;We;recall;who;;;;the hot tea;warmed;the young girl ;after the shocking incident .
12;4;anglais;We;recall;who;;;;the hot tea;warmed;;after the shocking incident .
12;5;anglais;We;recall;that;the old lady;heard;that;the hot tea;warmed;the young girl ;after the shocking incident .
12;6;anglais;We;recall;that;the old lady;heard;that;the hot tea;warmed;;after the shocking incident .
12;7;anglais;We;recall;who;the old lady;heard;that;the hot tea;warmed;the young girl ;after the shocking incident .
12;8;anglais;We;recall;who;the old lady;heard;that;the hot tea;warmed;;after the shocking incident .
13;1;anglais;I;remember;that;;;;the nurse;should administer;the new medicine ;to the sick patient .
13;2;anglais;I;remember;that;;;;the nurse;should administer;;to the sick patient .
13;3;anglais;I;remember;what;;;;the nurse;should administer;the new medicine ;to the sick patient .
13;4;anglais;I;remember;what;;;;the nurse;should administer;;to the sick patient .
13;5;anglais;I;remember;that;the doctor;decided;that;the nurse;should administer;the new medicine ;to the sick patient .
13;6;anglais;I;remember;that;the doctor;decided;that;the nurse;should administer;;to the sick patient .
13;7;anglais;I;remember;what;the doctor;decided;that;the nurse;should administer;the new medicine ;to the sick patient .
13;8;anglais;I;remember;what;the doctor;decided;that;the nurse;should administer;;to the sick patient .
14;1;anglais;Our friend;guessed;that;;;;the gossip column;revealed;family secrets; to the whole town .
14;2;anglais;Our friend;guessed;that;;;;the gossip column;revealed;; to the whole town .
14;3;anglais;Our friend;guessed;what;;;;the gossip column;revealed;family secrets; to the whole town .
14;4;anglais;Our friend;guessed;what;;;;the gossip column;revealed;; to the whole town .
14;5;anglais;Our friend;guessed;that;my friend;discovered;that;the gossip column;revealed;family secrets; to the whole town .
14;6;anglais;Our friend;guessed;that;my friend;discovered;that;the gossip column;revealed;; to the whole town .
14;7;anglais;Our friend;guessed;what;my friend;discovered;that;the gossip column;revealed;family secrets; to the whole town .
14;8;anglais;Our friend;guessed;what;my friend;discovered;that;the gossip column;revealed;; to the whole town .
15;1;anglais;The mayor;told me;that;;;;the town;repaired;the parking lot ;over the summer .
15;2;anglais;The mayor;told me;that;;;;the town;repaired;;over the summer .
15;3;anglais;The mayor;told me;what;;;;the town;repaired;the parking lot ;over the summer .
15;4;anglais;The mayor;told me;what;;;;the town;repaired;;over the summer .
15;5;anglais;The mayor;told me;that;the town clerk;heard;that;the town;repaired;the parking lot ;over the summer .
15;6;anglais;The mayor;told me;that;the town clerk;heard;that;the town;repaired;;over the summer .
15;7;anglais;The mayor;told me;what;the town clerk;heard;that;the town;repaired;the parking lot ;over the summer .
15;8;anglais;The mayor;told me;what;the town clerk;heard;that;the town;repaired;;over the summer .
16;1;anglais;My friend;remembers;that;;;;the government;collected;personal data ;over the past decade .
16;2;anglais;My friend;remembers;that;;;;the government;collected;;over the past decade .
16;3;anglais;My friend;remembers;what;;;;the government;collected;personal data ;over the past decade .
16;4;anglais;My friend;remembers;what;;;;the government;collected;;over the past decade .
16;5;anglais;My friend;remembers;that;the senator;testified about;that;the government;collected;personal data ;over the past decade .
16;6;anglais;My friend;remembers;that;the senator;testified about;that;the government;collected;;over the past decade .
16;7;anglais;My friend;remembers;what;the senator;testified about;that;the government;collected;personal data ;over the past decade .
16;8;anglais;My friend;remembers;what;the senator;testified about;that;the government;collected;;over the past decade .
17;1;anglais;The newspaper;said;that;;;;the manager;followed;company regulations ;during the financial crisis .
17;2;anglais;The newspaper;said;that;;;;the manager;followed;;during the financial crisis .
17;3;anglais;The newspaper;said;what;;;;the manager;followed;company regulations ;during the financial crisis .
17;4;anglais;The newspaper;said;what;;;;the manager;followed;;during the financial crisis .
17;5;anglais;The newspaper;said;that;the bureaucrat;discovered;that;the manager;followed;company regulations ;during the financial crisis .
17;6;anglais;The newspaper;said;that;the bureaucrat;discovered;that;the manager;followed;;during the financial crisis .
17;7;anglais;The newspaper;said;what;the bureaucrat;discovered;that;the manager;followed;company regulations ;during the financial crisis .
17;8;anglais;The newspaper;said;what;the bureaucrat;discovered;that;the manager;followed;;during the financial crisis .
18;1;anglais;Our neighbor;said;that;;;;the student;despised;the assigned materials; last semester .
18;2;anglais;Our neighbor;said;that;;;;the student;despised;; last semester .
18;3;anglais;Our neighbor;said;what;;;;the student;despised;the assigned materials; last semester .
18;4;anglais;Our neighbor;said;what;;;;the student;despised;; last semester .
18;5;anglais;Our neighbor;said;that;the professor;intuits;that;the student;despised;the assigned materials; last semester .
18;6;anglais;Our neighbor;said;that;the professor;intuits;that;the student;despised;; last semester .
18;7;anglais;Our neighbor;said;what;the professor;intuits;that;the student;despised;the assigned materials; last semester .
18;8;anglais;Our neighbor;said;what;the professor;intuits;that;the student;despised;; last semester .
19;1;anglais;My friend;told me;that;;;;the university;hired;a new administrator; last week .
19;2;anglais;My friend;told me;that;;;;the university;hired;; last week .
19;3;anglais;My friend;told me;who;;;;the university;hired;a new administrator; last week .
19;4;anglais;My friend;told me;who;;;;the university;hired;; last week .
19;5;anglais;My friend;told me;that;the consultant;assumes;that;the university;hired;a new administrator; last week .
19;6;anglais;My friend;told me;that;the consultant;assumes;that;the university;hired;; last week .
19;7;anglais;My friend;told me;who;the consultant;assumes;that;the university;hired;a new administrator; last week .
19;8;anglais;My friend;told me;who;the consultant;assumes;that;the university;hired;; last week .
20;1;anglais;She;can not believe;that;;;;my good friend;married;my cousin ;last winter .
20;2;anglais;She;can not believe;that;;;;my good friend;married;;last winter .
20;3;anglais;She;can not believe;who;;;;my good friend;married;my cousin ;last winter .
20;4;anglais;She;can not believe;who;;;;my good friend;married;;last winter .
20;5;anglais;She;can not believe;that;I;forgot;that;my good friend;married;my cousin ;last winter .
20;6;anglais;She;can not believe;that;I;forgot;that;my good friend;married;;last winter .
20;7;anglais;She;can not believe;who;I;forgot;that;my good friend;married;my cousin ;last winter .
20;8;anglais;She;can not believe;who;I;forgot;that;my good friend;married;;last winter .
21;1;anglais;Our neighbor;reminded us;that;;;;the tow truck;hauled;the wagon ;out of the ditch .
21;2;anglais;Our neighbor;reminded us;that;;;;the tow truck;hauled;;out of the ditch .
21;3;anglais;Our neighbor;reminded us;what;;;;the tow truck;hauled;the wagon ;out of the ditch .
21;4;anglais;Our neighbor;reminded us;what;;;;the tow truck;hauled;;out of the ditch .
21;5;anglais;Our neighbor;reminded us;that;she;remembers;that;the tow truck;hauled;the wagon ;out of the ditch .
21;6;anglais;Our neighbor;reminded us;that;she;remembers;that;the tow truck;hauled;;out of the ditch .
21;7;anglais;Our neighbor;reminded us;what;she;remembers;that;the tow truck;hauled;the wagon ;out of the ditch .
21;8;anglais;Our neighbor;reminded us;what;she;remembers;that;the tow truck;hauled;;out of the ditch .
22;1;anglais;The shop owner;told me;that;;;;the restaurant;prepared;a new recipe ;earlier that week .
22;2;anglais;The shop owner;told me;that;;;;the restaurant;prepared;;earlier that week .
22;3;anglais;The shop owner;told me;what;;;;the restaurant;prepared;a new recipe ;earlier that week .
22;4;anglais;The shop owner;told me;what;;;;the restaurant;prepared;;earlier that week .
22;5;anglais;The shop owner;told me;that;the baker;forgot;that;the restaurant;prepared;a new recipe ;earlier that week .
22;6;anglais;The shop owner;told me;that;the baker;forgot;that;the restaurant;prepared;;earlier that week .
22;7;anglais;The shop owner;told me;what;the baker;forgot;that;the restaurant;prepared;a new recipe ;earlier that week .
22;8;anglais;The shop owner;told me;what;the baker;forgot;that;the restaurant;prepared;;earlier that week .
23;1;anglais;My sister;told me;that;;;;the newspaper;published;a scandalous story ;last month .
23;2;anglais;My sister;told me;that;;;;the newspaper;published;;last month .
23;3;anglais;My sister;told me;what;;;;the newspaper;published;a scandalous story ;last month .
23;4;anglais;My sister;told me;what;;;;the newspaper;published;;last month .
23;5;anglais;My sister;told me;that;our mother;remembers;that;the newspaper;published;a scandalous story ;last month .
23;6;anglais;My sister;told me;that;our mother;remembers;that;the newspaper;published;;last month .
23;7;anglais;My sister;told me;what;our mother;remembers;that;the newspaper;published;a scandalous story ;last month .
23;8;anglais;My sister;told me;what;our mother;remembers;that;the newspaper;published;;last month .
24;1;anglais;We;remember;that;;;;the lawyer;must shred;the evidence ;before the trial .
24;2;anglais;We;remember;that;;;;the lawyer;must shred;;before the trial .
24;3;anglais;We;remember;what;;;;the lawyer;must shred;the evidence ;before the trial .
24;4;anglais;We;remember;what;;;;the lawyer;must shred;;before the trial .
24;5;anglais;We;remember;that;the judge;decided;that;the lawyer;must shred;the evidence ;before the trial .
24;6;anglais;We;remember;that;the judge;decided;that;the lawyer;must shred;;before the trial .
24;7;anglais;We;remember;what;the judge;decided;that;the lawyer;must shred;the evidence ;before the trial .
24;8;anglais;We;remember;what;the judge;decided;that;the lawyer;must shred;;before the trial .
