numero;variable;nombre;region1;region2;region3;region4;region5;region6;region7;region8
6;CMP;sg;Peter;announces to;the candidate ;that ;the jury ;will deliberate;firmly;after the audition.  
6;ORC;pl;Peter ;calls ;the candidates;that ;the jury ;will  wait for ;patiently;after the audition.  
6;ORC;sg;Peter ;calls ;the candidate ;that ;the jury ;will  wait for ;patiently;after the audition.  
6;CMP;pl;Peter;announces to;the candidates;that ;the jury ;will deliberate;firmly;after the audition.  
7;CMP;sg;Mark;repeats to;the population;that;the unhappiness ;continues;inevitably;after the tragedy.  
7;ORC;pl;Mark ;thinks of ;the people;that;the unhappiness ;unites;inevitably;after the tragedy.  
7;ORC;sg;Mark ;thinks of ;the population;that;the unhappiness ;unites;inevitably;after the tragedy.  
7;CMP;pl;Mark;repeats to;the people;that;the unhappiness ;continues;inevitably;after the tragedy.  
8;CMP;sg;Claire;reminds;the worker;that ;the fireplace ;has been smoking;a lot; since the works. 
8;ORC;pl;Claire ;attracts ;the workers;that ;the fireplace ;has blackened;a lot ;since the works. 
8;ORC;sg;Claire ;attracts ;the worker;that ;the fireplace ;has blackened;a lot ;since the works. 
8;CMP;pl;Claire;reminds;the workers;that ;the fireplace ;has been smoking;a lot ;since the works. 
9;CMP;sg;Patricia;says to ;the customer;that;the hat ;is pleasing;to the eye;because of the feathers.  
9;ORC;pl;Patricia ;talks to ;the customers;that;the hat ;makes tall;because of; the feathers. 
9;ORC;sg;Patricia ;talks to ;the customer;that;the hat ;makes tall;because of;the feathers. 
9;CMP;pl;Patricia;says to ;the customers;that;the hat ;is pleasing;to the eye;because of the feathers.  
10;CMP;sg;Aude;repeats to ;the athlete;that ;the massage ;begins;frequently;after the training.   
10;ORC;pl;Aude ;is liked by  ;the athletes;that ;the massage ;relaxes;always;after the training.  
10;ORC;sg;Aude ;is liked by  ;the athlete;that ;the massage ;relaxes;always;after the training.  
10;CMP;pl;Aude;repeats to ;the athletes;that ;the massage ;begins;frequently;after the training.   
11;CMP;sg;Luke;tells;the girl;that;the seducer ;has been chatting;untiringly;for an hour.  
11;ORC;pl;Luke ;thinks of ;the girls;that;the seducer ;has been addressing;assiduously;for an hour.  
11;ORC;sg;Luke ;thinks of ;the girl;that;the seducer ;has been addressing;assiduously;for an hour.  
11;CMP;pl;Luke;tells;the girls;that;the seducer ;has been chatting;untiringly;for an hour.  
12;CMP;sg;Anne ;reminds ;the actor;that ;the audience ;has been laughing;frantically;after each show.  
12;ORC;pl;Anne ;speaks to ;the actors ;that ;the audience ;has been applauding;frantically;after each show.  
12;ORC;sg;Anne ;speaks to ;the actor;that ;the audience ;has been applauding;frantically;after each show.  
12;CMP;pl;Anne ;reminds ;the actors ;that ;the audience ;has been laughing;frantically;after each show.  
13;CMP;sg;Joan;reminds;the neighbour;that;the excursion ;has falling;happily;at the end of the year.
13;ORC;pl;Joan ;speaks to ;the neighbours ;that;the excursion ;has enthused;wildly;at the end of the year.
13;ORC;sg;Joan ;speaks to ;the neighbour;that;the excursion ;has enthused;wildly;at the end of the year.
13;CMP;pl;Joan;reminds;the neighbours ;that;the excursion ;has falling;happily;at the end of the year.
14;CMP;sg;Joan ;reminds ;the lawyer;that ;the disappointment ;remains;inevitably;after the trial.  
14;ORC;pl;Joan ;calls ;the lawyers ;that ;the disappointment ;frustrates;inevitably;after the trial.   
14;ORC;sg;Joan ;calls ;the lawyer;that ;the disappointment ;frustrates;inevitably; after the trial.   
14;CMP;pl;Joan ;reminds ;the lawyers ;that ;the disappointment ;remains;inevitably;after the trial.  
15;CMP;sg;Sebastian ;reveals to ;the patient;that;the tranquilliser ;has been acting;progressively;for a year.  
15;ORC;pl;Sebastian ;smiles to ;the patients;that;the tranquilliser ;has been weakening;progressively;for a year.  
15;ORC;sg;Sebastian ;smiles to ;the patient;that;the tranquilliser ;has been weakening;progressively;for a year.  
15;CMP;pl;Sebastian ;reveals to ;the patients;that;the tranquilliser ;has been acting;progressively;for a year.  
16;CMP;sg;Jerome ;points out to ;the prisoner ;that ;the warden ;comes;noisily;into the courtyard.   
16;ORC;pl;Jerome;talks to ;the prisoners ;that ;the warden ;lets out;noisily;into the courtyard.  
16;ORC;sg;Jerome;talks to ;the prisoner ;that ;the warden ;lets out;noisily;into the courtyard.  
16;CMP;pl;Jerome ;points out to ;the prisoners ;that ;the warden ;comes;noisily;into the courtyard.   
17;CMP;sg;Benjamin;reminds;the teen-ager ;that;the educator ;has been drinking;frequently;for a few years. 
17;ORC;pl;Benjamin ;thinks of ;the teen-agers ;that;the educator ;has been beating;often;for a few years. 
17;ORC;sg;Benjamin ;thinks of ;the teen-ager ;that;the educator ;has been beating;often;for a few years. 
17;CMP;pl;Benjamin;reminds;the teen-agers ;that;the educator ;has been drinking;frequently;for a few years. 
18;CMP;sg;Fred ;tells;the child;that ;the priest ;lhas been eaving;happily;after each service.  
18;ORC;pl;Fred ;smiles to ;the children ;that ;the priest ;has been blessing;happily;after each service.  
18;ORC;sg;Fred ;smiles to ;the child;that ;the priest ;has been blessing;happily;after each service.  
18;CMP;pl;Fred ;tells;the children ;that ;the priest ;lhas been eaving;happily;after each service.  
19;CMP;sg;Charles ;explains to ;the victim;that;the treatment; is starting;slowly;but surely.   
19;ORC;pl;Charles ;smiles to ;the victims ;that;the treatment ;is curing;slowly;but surely.   
19;ORC;sg;Charles ;smiles to ;the victim;that;the treatment;is curing;slowly;but surely.   
19;CMP;pl;Charles ;explains to ;the victims ;that;the treatment ; is starting;slowly;but surely.   
20;CMP;sg;Lise ;promises; the woman;that ;the diet ;can be managed;surprisingly ;easily. 
20;ORC;pl;Lise ;speaks to ;the women ;whose weight;the diet ;is reducing;surprisingly;easily.    
20;ORC;sg;Lise ;speaks to ; the woman;whose;weight the diet ;is reducing;surprisingly;easily.    
20;CMP;pl;Lise ;promises;the women ;that;the diet ;can be managed;surprisingly ;easily. 
21;CMP;sg;Giles ;reminds ;the worker;that;the effort ;will double;inevitably;with time.   
21;ORC;pl;Giles ;speaks to ;the workers ;that;the effort ;has been tiring;inevitably;with time.   
21;ORC;sg;Giles ;speaks to ;the worker;that;the effort ;has been tiring;inevitably;with time.   
21;CMP;pl;Giles ;reminds ;the workers ;that;the effort ;will double;inevitably;with time.   
22;CMP;sg;Jack;explains ;the owner;that ;stress ;arrives;prematurely;despite the anti-anxiety medications. 
22;ORC;pl;Jack ;thinks of ;the owners ;that ;the stress ;has been aging;prematurely;despite the anti-anxiety medications. 
22;ORC;sg;Jack ;thinks of ;the owner;that ;stress ;has been aging;prematurely;despite the anti-anxiety medications. 
22;CMP;pl;Jack;explains ;the owners ;that ;the stress ;arrives;prematurely;despite the anti-anxiety medications. 
23;CMP;sg;Patrick ;repeats to ;the family;that;the holidays ;last;every year ;for ten days. 
23;ORC;pl;Patrick ;thinks of ;the families ;that;the holidays ;have been reuniting;every year ;for ten days. 
23;ORC;sg;Patrick ;thinks of ;the family;that;the holidays ;have been reuniting;every year ;for ten days. 
23;CMP;pl;Patrick ;repeats to ;the families ;that;the holidays ;last;every year ;for ten days. 
24;CMP;sg;Bernard ;reminds ;the gambler;that ;the casino ;ruins;unfortunately;very fast.   
24;ORC;pl;Bernard ;remembers;the gamblers ;that ;the casino ;ruins;unfortunately;very fast.   
24;ORC;sg;Bernard ;remembers;the gambler;that ;the casino ;ruins;unfortunately;very fast.   
24;CMP;pl;Bernard ;reminds ;the gamblers ;that ;the casino ;ruins;unfortunately;very fast.   
