;;;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6;groupe 7;groupe 8
9;ORC;sg;Patricia ;parla; con il cliente ;che ;il cappello; rende alto; a causa  ;delle piume . 
9;ORC;pl;Patricia ;parla ;con i clienti; che ;il cappello; rende alti; a causa ;delle piume . 
10;CMP;sg;Aude ;ripete; all'atleta; che ;il massaggio; inizia; sempre; dopo l'allenamento . 
10;CMP;pl;Aude ;ripete ;agli atleti; che; il massaggio; inizia; sempre ;dopo l'allenamento . 
10;ORC;sg;Aude; e apprezzata; dall'atleta; che; il massaggio;rilassa; sempre; dopo l'allenamento . 
10;ORC;pl;Aude; e apprezzata; dagli atleti; che ;il massaggio ;rilassa; sempre ;dopo l'allenamento .
11;CMP;sg;Luke; dice; alla ragazza; che; il seduttore; ha chiacchierato; instancabilmente; per un'ora . 
11;CMP;pl;Luke ;dice; alle ragazze; che ;il seduttore; ha chiacchierato; instancabilmente; per un'ora .
11;ORC;sg;Luke ;pensa ;alla ragazza ;che; il seduttore; sta corteggiando;assiduamente; da un'ora . 
11;ORC;pl;Luke ;pensa; alle ragazze; che; il seduttore; sta corteggiando;assiduamente; da un'ora . 
12;CMP;pl;Anne ;ricorda ;agli attori ;che ;il pubblico; ha riso; freneticamente ;dopo ogni spettacolo . 
12;ORC;sg;Anne ;parla; con l'attore ;che; il pubblico; ha applaudito;freneticamente; dopo ogni spettacolo . 
12;ORC;pl;Anne ;parla; con gli attori; che; il pubblico ;ha applaudito ;freneticamente; dopo ogni spettacolo . 
13;CMP;sg;Joan; ricorda; al vicino ;che; l'escursione;è fallita;raramente ; alla fine dell'anno .
13;CMP;pl;Joan; ricorda ;ai vicini; che ;l'escursione;è  fallita;raramente; alla fine dell'anno . 
13;ORC;sg;Joan; parla ;con il vicino; che; l'escursione; ha entusiasmato ;raramente ;alla fine dell'anno . 
13;ORC;pl;Joan ;parla; con i vicini; che ;l'escursione ;ha entusiasmato ;raramente ;alla fine dell'anno . 
14;CMP;sg;Joan; ricorda; all'avvocato; che ;la delusione;rimane ;inevitabilmente; dopo il processo . 
14;CMP;pl;Joan ;ricorda ;agli avvocati; che ;la delusione ;rimane ;inevitabilmente ;dopo il processo .
14;ORC;sg;Joan ;chiama ;l'avvocato; che ;la delusione; rattrista;inevitabilmente; dopo il processo . 
14;ORC;pl;Joan ;chiama ;gli avvocati; che ;la delusione ;rattrista; inevitabilmente ; dopo il processo . 
15;CMP;sg;Sebastian ;rivela; al paziente; che; il tranquillante; agisce; progressivamente; da un anno .
15;CMP;pl;Sebastian ;rivela ;ai pazienti; che; il tranquillante; agisce; progressivamente; da un anno .  
15;ORC;sg;Sebastian; sorride ;al paziente; che ;il tranquillante;sta indebolendo;progressivamente; da un anno . 
15;ORC;pl;Sebastian ;sorride; ai pazienti; che; il tranquillante;sta indebolendo;progressivamente; da un anno . 
16;CMP;sg; Jerome ;fa notare ;al prigioniero; che ;il guardiano;entra; a volte ; nel cortile .
16;CMP;pl;Jerome; fa notare; ai prigionieri; che ;il guardiano;entra; a volte ; nel cortile .
16;ORC;sg;Jerome; parla ;con il prigioniero; che ;il guardiano;lascia  uscire; a volte ; uscire nel cortile . 
16;ORC;pl;Jerome ;parla ;con i prigionieri; che ;il guardiano;lascia  uscire; a volte ; nel cortile .
17;CMP;sg;Benjamin; ricorda; all'adolescente; che; l'educatore; ha bevuto; frequentemente; per alcuni anni . 
17;CMP;pl;Benjamin; ricorda ;agli adolescenti; che ;l'educatore; ha bevuto; frequentemente; per alcuni anni . 
17;ORC;sg;Benjamin; pensa; all'adolescente; che; l'educatore; picchia ;spesso ;da alcuni anni . 
17;ORC;pl;Benjamin; pensa ;agli adolescenti ;che ;l'educatore ;picchia ;spesso; da alcuni anni . 
18;CMP;sg;Fred ;dice ;al bambino ;che; il sacerdote;è partito; felicemente; dopo ogni servizio .
18;CMP;pl;Fred ;dice ;ai bambini; che ;il sacerdote ;sia partito ;felicemente; dopo ogni servizio . 
18;ORC;sg;Fred ;sorride; al bambino ;che ;il sacerdote; ha benedetto; felicemente; dopo ogni servizio . 
18;ORC;pl;Fred ;sorride ;ai bambini; che; il sacerdote; ha benedetto; felicemente; dopo ogni servizio . 
19;CMP;sg;Charles; spiega; alla vittima; che; il trattamento; sta iniziando; lentamente; ma sicuramente . 
19;CMP;pl;Charles ;spiega ;alle vittime ;che; il trattamento; sta iniziando ;lentamente; ma sicuramente .
19;ORC;sg;Charles ;sorride; alla vittima; che ;il trattamento; sta curando ;lentamente; ma sicuramente .
19;ORC;pl;Charles ;sorride ;alle vittime ;che ;il trattamento ;sta curando; lentamente; ma sicuramente . 
20;CMP;sg;Liza ;promette; alla donna; che ;la dieta;puo essere gestita; sorprendentemente; facilmente . 
20;CMP;pl;Liza ;promette ;alle donne ;che; la dieta; puo essere gestita; sorprendentemente ;facilmente .
20;ORC;sg;Liza ;parla; con la donna; la cui; dieta; è gestita ;sorprendentemente ;facilmente . 
20;ORC;pl;Liza ;parla; con le donne; la cui; dieta; è gestita; sorprendentemente; facilmente . 
21;CMP;sg;Giles; ricorda; all'operaio; che; lo sforzo; raddoppiera; inevitabilmente; con il tempo . 
21;CMP;pl;Giles ;ricorda; agli operai; che ;lo sforzo; raddoppiera; inevitabilmente; con il tempo . 
21;ORC;sg;Giles; dice; all'operaio; che; lo sforzo; è  faticoso;inevitabilmente; con il tempo . 
21;ORC;pl;Giles; dice; agli operai; che; lo sforzo; è faticoso ; inevitabilmente;con il tempo . 
22;CMP;sg;Jack; spiega; al proprietario; che; lo stress; arriva; prematuramente; nonostante i farmaci anti-ansia . 
22;CMP;pl;Jack ;spiega; ai proprietari; che ;lo stress ;arriva; prematuramente ;nonostante i farmaci anti - ansia . 
22;ORC;sg;Jack; pensa; al proprietario ;che ;lo stress; ha invecchiato; prematuramente; nonostante i farmaci anti - ansia . 
22;ORC;pl;Jack ;pensa; ai proprietari ;che ;lo stress; ha invecchiato; prematuramente; nonostante i farmaci anti - ansia . 
23;CMP;sg;Patrick; ripete; alla famiglia; che; le vacanze; durano; ogni anno; per dieci giorni .
23;CMP;pl;Patrick ;ripete; alle famiglie; che; le vacanze; durano; ogni anno; per dieci giorni . 
23;ORC;sg;Patrick; pensa; alla famiglia; che ;le vacanze; hanno riunito; ogni anno ;per dieci giorni . 
23;ORC;pl;Patrick ;pensa ;alle famiglie; che; le vacanze; hanno riunito; ogni anno ;per dieci giorni . 
24;CMP;sg;Bernard; ricorda ;al giocatore ;che ;il casino ;sta chiudendo;purtroppo ; molto presto . 
24;CMP;pl;Bernard ;ricorda ;ai giocatori; che ;il casino ;sta chiudendo;purtroppo ; molto presto . 
24;ORC;sg;Bernard ;ricorda; al giocatore ;che; il casino ;rovina; purtroppo ;molto velocemente . 
24;ORC;pl;Bernard; ricorda; ai giocatori; che; il casino; rovina; purtroppo; molto velocemente . 
